Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
W,W44X335,W44X335,F,335.0000,98.5000,44.0000,44.0000,-,-,-,15.9000,16.0000,-,-,-,1.0300,1.0000,0.5000,1.7700,1.7500,-,-,-,2.5600,3.0000,1.7500,-,-,-,-,-,4.5000,-,-,38.0000,-,-,31100.0000,1620.0000,1410.0000,17.8000,1200.0000,236.0000,150.0000,3.4900,-,-,-,74.7000,535000.0000,-,168.0000,1180.0000,-,-,278.0000,805.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.2400,42.2000,132.0000,-,148.0000,104.0000,120.0000,38.0000,5.5000,-
W,W44X290,W44X290,F,290.0000,85.4000,43.6000,43.6250,-,-,-,15.8000,15.8750,-,-,-,0.8650,0.8750,0.4375,1.5800,1.5625,-,-,-,2.3600,2.8125,1.6250,-,-,-,-,-,5.0200,-,-,45.0000,-,-,27000.0000,1410.0000,1240.0000,17.8000,1040.0000,205.0000,132.0000,3.4900,-,-,-,50.9000,461000.0000,-,166.0000,1040.0000,-,-,248.0000,701.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.2000,42.0000,131.0000,-,147.0000,103.0000,119.0000,38.0000,5.5000,-
W,W44X262,W44X262,F,262.0000,77.2000,43.3000,43.2500,-,-,-,15.8000,15.7500,-,-,-,0.7850,0.8125,0.4375,1.4200,1.4375,-,-,-,2.2000,2.6250,1.6250,-,-,-,-,-,5.5700,-,-,49.6000,-,-,24100.0000,1270.0000,1110.0000,17.7000,923.0000,182.0000,117.0000,3.4700,-,-,-,37.3000,405000.0000,-,165.0000,928.0000,-,-,223.0000,630.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.1700,41.9000,131.0000,-,147.0000,102.0000,118.0000,38.0000,5.5000,-
W,W44X230,W44X230,F,230.0000,67.8000,42.9000,42.8750,-,-,-,15.8000,15.7500,-,-,-,0.7100,0.6875,0.3750,1.2200,1.2500,-,-,-,2.0100,2.4375,1.5625,-,-,-,-,-,6.4500,-,-,54.8000,-,-,20800.0000,1100.0000,971.0000,17.5000,796.0000,157.0000,101.0000,3.4300,-,-,-,24.9000,346000.0000,-,165.0000,793.0000,-,-,192.0000,547.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.1300,41.7000,130.0000,-,146.0000,102.0000,118.0000,38.0000,5.5000,-
W,W40X655,W40X655,T,655.0000,193.0000,43.6000,43.6250,-,-,-,16.9000,16.8750,-,-,-,1.9700,2.0000,1.0000,3.5400,3.5625,-,-,-,4.7200,4.8125,2.1875,-,-,-,-,-,2.3900,-,-,17.3000,-,-,56500.0000,3080.0000,2590.0000,17.1000,2870.0000,542.0000,340.0000,3.8600,-,-,-,589.0000,1150000.0000,-,169.0000,2530.0000,-,-,529.0000,1530.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.7100,40.1000,132.0000,-,149.0000,104.0000,121.0000,34.0000,7.5000,-
W,W40X593,W40X593,T,593.0000,174.0000,43.0000,43.0000,-,-,-,16.7000,16.7500,-,-,-,1.7900,1.8125,0.9375,3.2300,3.2500,-,-,-,4.4100,4.5000,2.1250,-,-,-,-,-,2.5800,-,-,19.1000,-,-,50400.0000,2760.0000,2340.0000,17.0000,2520.0000,481.0000,302.0000,3.8000,-,-,-,445.0000,997000.0000,-,166.0000,2240.0000,-,-,479.0000,1370.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.6300,39.8000,130.0000,-,147.0000,103.0000,120.0000,34.0000,7.5000,-
W,W40X503,W40X503,T,503.0000,148.0000,42.1000,42.0000,-,-,-,16.4000,16.3750,-,-,-,1.5400,1.5625,0.8125,2.7600,2.7500,-,-,-,3.9400,4.0000,2.0000,-,-,-,-,-,2.9800,-,-,22.3000,-,-,41600.0000,2320.0000,1980.0000,16.8000,2040.0000,394.0000,249.0000,3.7200,-,-,-,277.0000,789000.0000,-,161.0000,1830.0000,-,-,403.0000,1150.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.5000,39.3000,129.0000,-,145.0000,101.0000,117.0000,34.0000,7.5000,-
W,W40X431,W40X431,T,431.0000,127.0000,41.3000,41.2500,-,-,-,16.2000,16.2500,-,-,-,1.3400,1.3125,0.6875,2.3600,2.3750,-,-,-,3.5400,3.6250,1.8750,-,-,-,-,-,3.4400,-,-,25.5000,-,-,34800.0000,1960.0000,1690.0000,16.6000,1690.0000,328.0000,208.0000,3.6500,-,-,-,177.0000,638000.0000,-,158.0000,1510.0000,-,-,341.0000,969.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.4100,38.9000,127.0000,-,143.0000,98.8000,115.0000,34.0000,7.5000,-
W,W40X397,W40X397,T,397.0000,117.0000,41.0000,41.0000,-,-,-,16.1000,16.1250,-,-,-,1.2200,1.2500,0.6250,2.2000,2.1875,-,-,-,3.3800,3.5000,1.8125,-,-,-,-,-,3.6600,-,-,28.0000,-,-,32000.0000,1800.0000,1560.0000,16.6000,1540.0000,300.0000,191.0000,3.6400,-,-,-,142.0000,579000.0000,-,156.0000,1380.0000,-,-,318.0000,891.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.3800,38.8000,126.0000,-,142.0000,98.1000,114.0000,34.0000,7.5000,-
W,W40X372,W40X372,T,372.0000,110.0000,40.6000,40.6250,-,-,-,16.1000,16.1250,-,-,-,1.1600,1.1875,0.6250,2.0500,2.0625,-,-,-,3.2300,3.3125,1.8125,-,-,-,-,-,3.9300,-,-,29.5000,-,-,29600.0000,1680.0000,1460.0000,16.5000,1420.0000,277.0000,177.0000,3.6000,-,-,-,116.0000,528000.0000,-,155.0000,1280.0000,-,-,295.0000,829.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.3300,38.6000,125.0000,-,141.0000,97.3000,113.0000,34.0000,7.5000,-
